Iteration, Batch, Loss
0, 0, 9.042943000793457
0, 1, 6.764303684234619
0, 2, 5.302807331085205
0, 3, 4.039966583251953
0, 4, 3.178145408630371
0, 5, 2.721221446990967
0, 6, 2.6490094661712646
0, 7, 2.4780995845794678
0, 8, 2.6129233837127686
0, 9, 2.4929215908050537
0, 10, 2.611084461212158
0, 11, 2.507473945617676
0, 12, 2.6851112842559814
0, 13, 2.6313679218292236
0, 14, 2.51650071144104
0, 15, 2.5764665603637695
0, 16, 2.432276725769043
0, 17, 2.453176498413086
0, 18, 2.4682750701904297
0, 19, 2.4228522777557373
0, 20, 2.371920347213745
0, 21, 2.4274449348449707
0, 22, 2.241417646408081
0, 23, 2.249441385269165
0, 24, 2.132646083831787
0, 25, 2.224356174468994
0, 26, 2.088884115219116
0, 27, 2.1510441303253174
0, 28, 1.9165023565292358
0, 29, 1.9907172918319702
0, 30, 1.960635781288147
0, 31, 1.779128074645996
0, 32, 1.8799911737442017
0, 33, 1.770379662513733
0, 34, 1.8762116432189941
0, 35, 1.823854923248291
0, 36, 1.8253005743026733
0, 37, 1.7271074056625366
0, 38, 1.7106196880340576
0, 39, 1.8669724464416504
0, 40, 1.8161970376968384
0, 41, 1.6853177547454834
0, 42, 1.7542542219161987
0, 43, 1.7199598550796509
0, 44, 1.6946640014648438
0, 45, 1.7333177328109741
0, 46, 1.6430937051773071
1, 0, 1.7313514947891235
1, 1, 1.7015491724014282
1, 2, 1.7232939004898071
1, 3, 1.6367980241775513
1, 4, 1.7400542497634888
1, 5, 1.6435418128967285
1, 6, 1.5706332921981812
1, 7, 1.5539491176605225
1, 8, 1.6495227813720703
1, 9, 1.6100294589996338
1, 10, 1.7737071514129639
1, 11, 1.6017242670059204
1, 12, 1.5765314102172852
1, 13, 1.6131240129470825
1, 14, 1.5521149635314941
1, 15, 1.5247935056686401
1, 16, 1.5106276273727417
1, 17, 1.5745315551757812
1, 18, 1.5088058710098267
1, 19, 1.4960979223251343
1, 20, 1.423985481262207
1, 21, 1.6047489643096924
1, 22, 1.530957818031311
1, 23, 1.580057978630066
1, 24, 1.578410029411316
1, 25, 1.5672550201416016
1, 26, 1.6728259325027466
1, 27, 1.4890118837356567
1, 28, 1.51033616065979
1, 29, 1.537682056427002
1, 30, 1.4522160291671753
1, 31, 1.578728199005127
1, 32, 1.5274250507354736
1, 33, 1.5831019878387451
1, 34, 1.5920274257659912
1, 35, 1.5473155975341797
1, 36, 1.4599553346633911
1, 37, 1.54778254032135
1, 38, 1.484927773475647
1, 39, 1.540122151374817
1, 40, 1.5867300033569336
1, 41, 1.5452640056610107
1, 42, 1.5249165296554565
1, 43, 1.5273730754852295
1, 44, 1.5015854835510254
1, 45, 1.564699411392212
1, 46, 1.4587634801864624
